# x	gamma	normal
6	6.35401e-06	7.61492e-06
6.55184	7.17103e-06	8.55444e-06
7.10368	8.08555e-06	9.60161e-06
7.65552	9.1082e-06	1.07677e-05
8.20736	1.02506e-05	1.20651e-05
8.7592	1.15256e-05	1.35071e-05
9.31104	1.29471e-05	1.51085e-05
9.86288	1.45304e-05	1.68853e-05
10.4147	1.62921e-05	1.88548e-05
10.9666	1.82504e-05	2.10359e-05
11.5184	2.04252e-05	2.34492e-05
12.0702	2.28379e-05	2.61168e-05
12.6221	2.5512e-05	2.9063e-05
13.1739	2.84727e-05	3.23137e-05
13.7258	3.17475e-05	3.58971e-05
14.2776	3.53663e-05	3.98437e-05
14.8294	3.93611e-05	4.41861e-05
15.3813	4.37666e-05	4.89598e-05
15.9331	4.86203e-05	5.42025e-05
16.4849	5.39624e-05	5.9955e-05
17.0368	5.98361e-05	6.62611e-05
17.5886	6.6288e-05	7.31676e-05
18.1405	7.33679e-05	8.07245e-05
18.6923	8.11292e-05	8.89854e-05
19.2441	8.96289e-05	9.80074e-05
19.796	9.8928e-05	0.000107851
20.3478	0.000109092	0.000118582
20.8997	0.000120189	0.000130268
21.4515	0.000132293	0.000142983
22.0033	0.000145483	0.000156805
22.5552	0.000159841	0.000171814
23.107	0.000175455	0.000188099
23.6589	0.000192419	0.00020575
24.2107	0.000210829	0.000224864
24.7625	0.000230789	0.000245543
25.3144	0.000252408	0.000267892
25.8662	0.000275799	0.000292025
26.4181	0.000301084	0.000318059
26.9699	0.000328386	0.000346116
27.5217	0.000357838	0.000376324
28.0736	0.000389575	0.000408817
28.6254	0.000423741	0.000443734
29.1773	0.000460484	0.000481219
29.7291	0.000499958	0.000521423
30.2809	0.000542322	0.0005645
30.8328	0.000587741	0.000610611
31.3846	0.000636386	0.00065992
31.9365	0.000688431	0.000712599
32.4883	0.000744057	0.000768822
33.0401	0.00080345	0.000828768
33.592	0.000866797	0.000892621
34.1438	0.000934292	0.000960567
34.6957	0.00100613	0.0010328
35.2475	0.00108252	0.0011095
35.7993	0.00116365	0.00119089
36.3512	0.00124973	0.00127714
36.903	0.00134097	0.00136846
37.4548	0.00143757	0.00146505
38.0067	0.00153974	0.00156711
38.5585	0.00164769	0.00167484
39.1104	0.00176162	0.00178844
39.6622	0.00188173	0.0019081
40.214	0.00200822	0.00203403
40.7659	0.00214129	0.00216639
41.3177	0.00228113	0.00230539
41.8696	0.00242792	0.0024512
42.4214	0.00258184	0.002604
42.9732	0.00274305	0.00276394
43.5251	0.00291172	0.00293118
44.0769	0.003088	0.00310587
44.6288	0.00327201	0.00328815
45.1806	0.0034639	0.00347813
45.7324	0.00366375	0.00367593
46.2843	0.00387168	0.00388163
46.8361	0.00408776	0.00409533
47.388	0.00431204	0.00431708
47.9398	0.00454458	0.00454693
48.4916	0.00478539	0.0047849
49.0435	0.00503448	0.005031
49.5953	0.00529181	0.00528521
50.1472	0.00555736	0.00554749
50.699	0.00583104	0.00581779
51.2508	0.00611277	0.00609602
51.8027	0.00640242	0.00638206
52.3545	0.00669984	0.00667578
52.9064	0.00700487	0.00697703
53.4582	0.0073173	0.0072856
54.01	0.00763689	0.00760128
54.5619	0.00796339	0.00792382
55.1137	0.0082965	0.00825296
55.6656	0.00863591	0.00858838
56.2174	0.00898127	0.00892975
56.7692	0.00933218	0.00927672
57.3211	0.00968826	0.00962889
57.8729	0.0100491	0.00998583
58.4247	0.0104141	0.0103471
58.9766	0.0107829	0.0107123
59.5284	0.0111549	0.0110808
60.0803	0.0115297	0.0114521
60.6321	0.0119065	0.0118257
61.1839	0.0122849	0.012201
61.7358	0.0126641	0.0125774
62.2876	0.0130436	0.0129542
62.8395	0.0134227	0.0133309
63.3913	0.0138007	0.0137068
63.9431	0.0141769	0.0140811
64.495	0.0145507	0.0144533
65.0468	0.0149212	0.0148225
65.5987	0.0152878	0.0151881
66.1505	0.0156497	0.0155493
66.7023	0.0160062	0.0159055
67.2542	0.0163565	0.0162558
67.806	0.0166999	0.0165996
68.3579	0.0170357	0.0169361
68.9097	0.017363	0.0172646
69.4615	0.0176813	0.0175843
70.0134	0.0179897	0.0178945
70.5652	0.0182876	0.0181946
71.1171	0.0185743	0.0184838
71.6689	0.0188491	0.0187615
72.2207	0.0191113	0.0190269
72.7726	0.0193604	0.0192796
73.3244	0.0195958	0.0195188
73.8763	0.0198168	0.019744
74.4281	0.0200229	0.0199547
74.9799	0.0202137	0.0201503
75.5318	0.0203887	0.0203303
76.0836	0.0205474	0.0204943
76.6355	0.0206895	0.0206418
77.1873	0.0208145	0.0207726
77.7391	0.0209223	0.0208862
78.291	0.0210125	0.0209824
78.8428	0.0210849	0.021061
79.3946	0.0211393	0.0211216
79.9465	0.0211756	0.0211643
80.4983	0.0211937	0.0211888
81.0502	0.0211937	0.0211951
81.602	0.0211754	0.0211832
82.1538	0.021139	0.0211531
82.7057	0.0210845	0.0211049
83.2575	0.0210121	0.0210387
83.8094	0.0209221	0.0209547
84.3612	0.0208145	0.0208532
84.913	0.0206899	0.0207342
85.4649	0.0205483	0.0205983
86.0167	0.0203903	0.0204456
86.5686	0.0202162	0.0202767
87.1204	0.0200265	0.0200918
87.6722	0.0198217	0.0198916
88.2241	0.0196022	0.0196764
88.7759	0.0193686	0.0194468
89.3278	0.0191215	0.0192034
89.8796	0.0188614	0.0189467
90.4314	0.0185891	0.0186774
90.9833	0.0183051	0.0183962
91.5351	0.0180102	0.0181035
92.087	0.0177049	0.0178003
92.6388	0.0173901	0.017487
93.1906	0.0170664	0.0171646
93.7425	0.0167345	0.0168336
94.2943	0.0163951	0.0164948
94.8462	0.016049	0.0161489
95.398	0.015697	0.0157967
95.9498	0.0153397	0.0154389
96.5017	0.0149778	0.0150762
97.0535	0.0146121	0.0147094
97.6054	0.0142433	0.0143392
98.1572	0.0138721	0.0139663
98.709	0.0134992	0.0135915
99.2609	0.0131253	0.0132153
99.8127	0.0127509	0.0128385
100.365	0.0123768	0.0124617
100.916	0.0120036	0.0120856
101.468	0.0116319	0.0117107
102.02	0.0112621	0.0113378
102.572	0.010895	0.0109672
103.124	0.010531	0.0105997
103.676	0.0101706	0.0102357
104.227	0.00981437	0.0098757
104.779	0.00946264	0.00952018
105.331	0.00911588	0.00916957
105.883	0.00877448	0.00882428
106.435	0.0084388	0.0084847
106.987	0.00810918	0.00815117
107.538	0.00778592	0.00782403
108.09	0.00746932	0.00750356
108.642	0.0071596	0.00719004
109.194	0.00685701	0.0068837
109.746	0.00656174	0.00658475
110.298	0.00627395	0.00629337
110.849	0.00599379	0.00600971
111.401	0.00572138	0.00573391
111.953	0.00545681	0.00546607
112.505	0.00520015	0.00520626
113.057	0.00495144	0.00495454
113.609	0.00471072	0.00471093
114.161	0.00447799	0.00447546
114.712	0.00425322	0.0042481
115.264	0.00403639	0.00402883
115.816	0.00382745	0.0038176
116.368	0.00362631	0.00361433
116.92	0.00343291	0.00341894
117.472	0.00324714	0.00323134
118.023	0.00306888	0.00305141
118.575	0.00289801	0.00287902
119.127	0.0027344	0.00271404
119.679	0.0025779	0.00255631
120.231	0.00242835	0.00240568
120.783	0.0022856	0.00226198
121.334	0.00214947	0.00212504
121.886	0.00201978	0.00199467
122.438	0.00189636	0.00187069
122.99	0.00177901	0.00175291
123.542	0.00166756	0.00164113
124.094	0.00156181	0.00153517
124.645	0.00146156	0.00143481
125.197	0.00136663	0.00133985
125.749	0.00127681	0.00125011
126.301	0.00119193	0.00116538
126.853	0.00111177	0.00108545
127.405	0.00103616	0.00101014
127.957	0.000964902	0.000939249
128.508	0.00089781	0.00087258
129.06	0.000834702	0.000809947
129.612	0.000775396	0.000751164
130.164	0.000719716	0.000696048
130.716	0.000667491	0.000644423
131.268	0.000618551	0.000596114
131.819	0.000572733	0.000550952
132.371	0.000529877	0.000508775
132.923	0.00048983	0.000469422
133.475	0.000452441	0.000432741
134.027	0.000417568	0.000398584
134.579	0.000385069	0.000366808
135.13	0.000354812	0.000337274
135.682	0.000326667	0.000309852
136.234	0.000300511	0.000284416
136.786	0.000276225	0.000260842
137.338	0.000253697	0.000239018
137.89	0.000232818	0.000218831
138.441	0.000213484	0.000200177
138.993	0.000195598	0.000182955
139.545	0.000179066	0.000167072
140.097	0.000163798	0.000152437
140.649	0.000149712	0.000138964
141.201	0.000136727	0.000126573
141.753	0.000124767	0.000115187
142.304	0.000113762	0.000104736
142.856	0.000103644	9.51514e-05
143.408	9.43506e-05	8.63696e-05
143.96	8.58211e-05	7.83308e-05
144.512	7.8e-05	7.09792e-05
145.064	7.08348e-05	6.42624e-05
145.615	6.42762e-05	5.81311e-05
146.167	5.82781e-05	5.25397e-05
146.719	5.27974e-05	4.74453e-05
147.271	4.77938e-05	4.2808e-05
147.823	4.32298e-05	3.85908e-05
148.375	3.90704e-05	3.47592e-05
148.926	3.52829e-05	3.12811e-05
149.478	3.18371e-05	2.81268e-05
150.03	2.8705e-05	2.52689e-05
150.582	2.58603e-05	2.26819e-05
151.134	2.32789e-05	2.03422e-05
151.686	2.09386e-05	1.82282e-05
152.237	1.88185e-05	1.63198e-05
152.789	1.68996e-05	1.45987e-05
153.341	1.51643e-05	1.30479e-05
153.893	1.35964e-05	1.16518e-05
154.445	1.21809e-05	1.03961e-05
154.997	1.09041e-05	9.26783e-06
155.548	9.75334e-06	8.25487e-06
156.1	8.71714e-06	7.34632e-06
156.652	7.78485e-06	6.53214e-06
157.204	6.94676e-06	5.80321e-06
157.756	6.19399e-06	5.15119e-06
158.308	5.51841e-06	4.5685e-06
158.86	4.91264e-06	4.04824e-06
159.411	4.3699e-06	3.58414e-06
159.963	3.88405e-06	3.17053e-06
160.515	3.4495e-06	2.80223e-06
161.067	3.06114e-06	2.47459e-06
161.619	2.71437e-06	2.18338e-06
162.171	2.40498e-06	1.92479e-06
162.722	2.12918e-06	1.69536e-06
163.274	1.88352e-06	1.492e-06
163.826	1.66489e-06	1.3119e-06
164.378	1.47049e-06	1.15255e-06
164.93	1.29776e-06	1.01169e-06
165.482	1.14442e-06	8.87278e-07
166.033	1.00841e-06	7.77498e-07
166.585	8.87865e-07	6.80716e-07
167.137	7.81117e-07	5.95468e-07
167.689	6.86665e-07	5.20449e-07
168.241	6.03161e-07	4.5449e-07
168.793	5.29397e-07	3.9655e-07
169.344	4.6429e-07	3.45699e-07
169.896	4.06872e-07	3.01109e-07
170.448	3.56277e-07	2.62046e-07
171	3.11729e-07	2.27854e-07
